,lat,lon,alt
CRH5,52.6403,-114.2347,3066
CFC7,52.6819,-114.2336,2963
CEU4,52.3789,-114.9169,3330
CYRM,52.4297,-114.9003,3244
CEB4,51.1778,-113.2678,2870
CFC6,51.2597,-113.1011,2860
CDA7,52.4906,-115.7508,4690
CSL6,55.2933,-114.7681,1902
CYZH,55.2931,-114.7675,1912
CGM2,54.1217,-112.4514,2009
CFS5,55.7836,-118.8339,2044
CTP5,53.9881,-111.2839,2113
CEW3,53.9936,-111.3678,2148
CFB7,59.6333,-117.1667,996
CLH2,52.3233,-112.7175,2694
CEJ3,52.31,-112.7503,2688
CSP3,53.5375,-114.0667,2415
CSP2,53.5381,-113.9678,2311
CAP9,50.9939,-113.3669,3025
CDJ5,51.1336,-113.5508,3099
CSM2,51.06,-113.3836,3216
CYSD,50.2667,-111.1833,2525
CSD2,51.8069,-114.6336,3589
CFZ5,51.7333,-114.6667,3700
CFN7,51.7747,-114.6681,3663
CEM5,54.6708,-115.4014,3474
CTB7,49.7856,-112.1514,2669
CED5,49.8264,-112.1833,2648
CFM6,56.4594,-114.1167,2565
CFA8,51.7086,-113.25,3000
CEN3,51.6964,-113.2008,2975
CTF2,53.3731,-112.65,2297
CEV7,53.3711,-112.6844,2311
CFB4,56.5,-114.55,2290
CTH4,53.7136,-111.7181,2075
CEL6,53.7,-111.7833,2010
CVV2,55.0675,-117.2669,2339
CEL5,55.0325,-117.2844,2435
CEN6,50.0333,-112.0833,2579
CVG8,53.4939,-112.0181,2079
CEV3,53.5139,-112.0175,2072
CVH2,53.3558,-110.8669,2022
CYVG,53.3569,-110.8172,2020
CVS2,53.0256,-111.9347,2242
CGR5,53.1017,-111.7675,2255
CEE8,53.1,-111.8667,2260
CVH7,50.3958,-113.2508,3452
CVL2,50.3319,-113.3506,3418
CFX6,50.4047,-113.2833,3437
CEE5,55.9614,-113.8167,1827
CFF7,52.8281,-110.9003,2170
CYWN,52.8306,-111.1,2260
CYWV,52.7967,-110.8508,2230
CFH8,53.2167,-114.3333,2530
CEP6,49.2933,-112.1839,3319
CAA3,54.1467,-113.8503,2153
CHF3,54.2067,-114.1169,2030
CES4,54.1422,-113.7339,2214
CWC4,52.9883,-113.3667,2494
CEX3,52.965,-113.4011,2508
CYZU,54.1439,-115.7836,2567
CJJ3,53.5464,-115.2508,2880
CCF7,49.3964,-101.8175,1866
CAN5,51.7653,-106.0667,1950
CJM6,53.1078,-103.65,1183
CJA7,49.6333,-102.4833,1985
CJN4,49.7347,-105.9344,2370
CAX2,57.2692,-109.8347,1758
CJK3,55.1103,-107.7014,1430
CKX8,53.8361,-107.0008,1592
CJF8,52.0511,-107.9836,2130
CJD3,52.9908,-105.4344,1500
CBS7,50.0664,-105.3,2120
CBN3,55.8342,-108.4003,1411
CYVT,55.8419,-108.4167,1423
CJJ5,50.6194,-108.4514,2175
CJP6,59.61,-109.2667,750
CCL2,53.7683,-105.3006,1650
CJR7,51.6289,-102.45,1603
CJQ3,49.6442,-102.2836,2075
CJC4,50.8014,-106.4836,2030
CJP9,59.6014,-109.1336,705
CKV6,51.0167,-101.8167,1745
CJW7,58.0531,-104.4833,1554
CYKC,58.2361,-103.6675,1340
CKK3,49.0,-105.3847,2501
CJC2,51.0561,-105.8336,1950
CKS8,57.4642,-106.7347,1615
CJD2,52.4833,-105.7167,1878
CJT4,53.9561,-102.2847,878
CJC3,51.2478,-105.9675,2025
CKH3,53.5319,-106.8833,1700
CDS2,50.6358,-105.0333,1900
CJE2,54.6167,-107.3833,1850
CJG2,51.2194,-109.3842,1565
