,lat,lon,alt
CYPQ,44.2306,-78.3633,628
CYPL,51.4464,-90.2133,1268
CGB3,44.0011,-77.0733,460
CPE7,44.0164,-77.1381,353
CNT7,43.9892,-77.1392,465
CYPM,51.8197,-93.9733,1117
CLB2,43.3058,-80.5486,980
CNA9,44.9161,-76.9358,890
CPV7,52.1133,-94.2556,1095
CFA2,45.1281,-79.5378,748
CPC2,45.0928,-79.5972,850
CPE5,42.8775,-79.3528,600
CNL4,44.4153,-81.4144,650
CMF4,43.9889,-78.4283,525
CPH3,44.0247,-78.4269,560
CPX6,44.1053,-78.9547,875
CPP3,44.0617,-78.8853,900
CUT2,44.0661,-79.0208,920
CRA2,44.1408,-79.4872,725
CRL3,51.0136,-93.8219,1254
CYRL,51.0672,-93.7931,1266
CRA3,44.1053,-77.4594,390
CPG9,45.4825,-76.6961,400
CRN2,42.4247,-81.8661,740
CPT3,43.3222,-80.1764,846
CPU3,42.5314,-81.6069,670
CRS4,45.2692,-79.6558,826
CZRJ,52.9436,-91.3125,974
CZPB,53.8911,-92.1964,876
CZSJ,53.0642,-93.3444,951
CYZR,42.9997,-82.3094,595
CNR3,46.5044,-84.3233,580
CSM9,46.5475,-84.3125,797
CYAM,46.485,-84.5094,632
CSV8,43.9861,-79.7272,890
CNP4,44.1667,-78.9358,1198
CJA2,42.8069,-79.9769,620
CSX7,43.3772,-81.5042,856
CSF4,44.0086,-80.2625,1620
CNN3,44.0283,-80.2061,1675
CPA4,42.8192,-80.2658,722
CPA8,42.8467,-80.3197,710
CYXL,50.1142,-91.9056,1257
CKD9,51.13,-91.6656,1355
CNS9,44.9072,-76.0278,409
CYSH,44.9458,-75.9403,418
CPF7,44.4939,-81.3353,685
CGV7,42.97,-80.1594,720
CNA3,44.4064,-79.7317,963
CNH4,43.1517,-79.2806,336
CYSN,43.1917,-79.1711,321
CYQS,42.77,-81.1097,779
CLV2,44.4044,-80.1481,877
CPJ5,44.2414,-77.5617,625
CPF6,43.1694,-79.7097,680
CRML,42.2956,-82.535,625
CBB2,43.9933,-79.2669,975
CYSA,43.4158,-80.9342,1211
CPK2,42.9658,-81.5917,780
CNM3,46.3733,-79.9161,680
CSL8,46.4681,-80.9961,985
CSC9,46.4822,-80.8339,886
CSK7,46.4356,-81.1219,860
CYSB,46.6256,-80.7978,1143
CJV7,52.7086,-88.5419,833
CSD7,44.2269,-79.0972,950
CPE6,45.8225,-79.3236,1190
CDF2,43.9944,-81.2936,1050
